Data Source,World Development Indicators,...3
Norway,NOR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1906.17492996139,1937.64474486121,2052.05448432748,2182.99310766535,2320.01313360793,2539.59772967537,2710.07819852428,2815.68798736121,3052.89656506011,3193.65507820632,3417.67466173757,3414.31663890625,3503.42994820244,3608.10122274032,3580.5995496402,3651.6808145508,3962.23292116145,4060.10627707475,4360.47070580493,4467.1936298854,4491.90698107019,4414.96406324167,4262.39171067664,4427.79292477144,4672.13755033394,4815.31389644254,5024.07618839196,5048.49930915557,4817.15567308898,4984.19811583001,4966.8935768305,5105.10820483315,5159.64861896962,5459.62340830489,5315.24486967133,5391.41408116749,5202.04727507774,5475.18873901657,5684.78859356637,5913.30220916454,5826.07776899719,5954.04177146679,5501.11774400148,5933.21584146703,5769.32670718721,5802.71629019242,5833.77393455929,5862.21726072608,6752.7089818993,6484.11858531629,6934.5901990734,5649.69772392495,5906.14104846139,6415.99071427151,5595.65462490306,5817.63660265655,"","","","","","","","","
Nepal,NPL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",287.781939048129,289.356636668948,291.731395570355,291.188777482444,290.212134287431,289.077900010079,289.869733967622,289.51700152867,292.300167406269,293.301626909868,291.435543447125,292.578034330252,295.105930996118,295.532659121832,291.54621788735,294.749577515804,293.96907099283,294.58296387278,291.928866736871,296.50676611468,298.289371896289,297.058468613843,296.689935141658,299.613596955706,301.711375531856,302.221867321154,305.57610225525,307.412468486011,318.347135706528,330.300125366096,335.698304243904,334.29868339354,338.941143047866,339.492400560625,347.085067278847,343.716804831844,347.464538130776,356.934597755461,365.019255302177,373.440930625582,384.804176621641,366.888367006036,407.122313464634,422.432014316085,"","","","","","","","","","
Nauru,NRU,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
New Zealand,NZL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1685.78843072772,1763.25990825309,1791.46132151491,1924.22900703057,2176.16887135453,2241.41569015371,2286.23117455809,2188.69351345398,2319.30024380481,2374.22857761108,2457.81726971929,2393.1072555205,2617.16105926513,2662.05078850505,2882.55250190164,2772.28211864682,2928.69313615174,3055.08108454586,3031.79930795848,2834.45802508845,2886.32400655337,2849.98559953919,3012.97138873927,3076.75866595818,3251.01174429054,3448.32835453174,3464.09604780827,3452.96268018568,3609.68051410124,3846.62615179437,3854.36602798967,3763.81448313353,3808.47722060198,3967.87133979061,4055.20055248619,4053.69058637774,4131.23633440514,4258.75677676989,4162.86920052425,4307.93043206175,4430.22785597636,4407.61886354851,4337.38052424971,4197.59386174017,4239.64574923547,4095.14308522219,4047.31802322803,4054.49500449832,4082.72336729424,4073.23804211407,4225.09458248098,4177.02554744526,4357.80971393571,4360.30593638144,4553.02690136167,4431.51473076756,"","","","","","","","","
OECD members,OED,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2660.59839497978,2695.72253197016,2809.35060159498,2953.65697616357,3054.39955869639,3136.62077772549,3256.78582033297,3390.95817701627,3567.55930138933,3765.47787698457,4075.61112007841,3673.73110463709,3815.07301906591,3981.61562547726,3891.82611788441,3772.45829315031,3974.7483952656,4033.7234349463,4118.21919829189,4178.76586991117,4046.05064018871,3910.42186182075,3786.03737825937,3760.28316054676,3879.94035737704,3934.7597922731,3943.21065058458,4040.0326387678,4128.57381072863,4166.92614632557,4130.72054866731,4138.97567654756,4136.92932859567,4160.21106353731,4195.10526515764,4250.71250889581,4343.80349791904,4351.61826323321,4334.93876796,4376.43088016156,4441.41899007957,4397.45808489665,4394.08359911414,4420.02203946763,4471.55737581929,4467.55567930733,4441.21374595791,4430.94327232467,4342.97839365212,4125.23550995984,4234.29600053692,4135.17852454678,4083.20416782238,4076.63305534434,4023.55864930447,4133.7289575809,"","","","","","","","","
Oman,OMN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",124.672781114607,124.17623356214,133.918208932872,199.525293579013,306.701811869595,463.563933271225,870.742206955574,617.062681049956,888.352951588636,1149.43150947617,926.90859909961,1329.47235250224,1157.40960964367,1801.909248579,1592.26091679995,1406.13576016737,1524.90079920266,1389.92539192531,1529.57891169936,2391.92632007411,3154.16913992265,2815.69446063899,2934.81741625138,2901.00507533262,2876.94527023458,2907.51977582912,3078.87680762489,3056.46102185433,3125.03523222642,3316.60452445543,3323.36529425591,3454.22910052457,3638.77001230225,3662.44306748818,4026.90948295838,6135.85878769442,6885.76493264658,5959.75144382567,5891.51992860173,6788.32332527999,7154.88290778328,6673.98521498935,6373.22756150179,6078.06964703272,"","","","","","","","","","
Other small states,OSS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2773.33485552391,"","","","","","","","","","","","","",2397.38144179439,2442.89931148099,2629.6722950309,2765.54483475628,"","","","","","","","","","","","","","","","","
Pakistan,PAK,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",275.48227628557,275.109205743895,280.599029860295,288.720883971364,292.965012469196,287.470147760157,290.488826480569,293.007272599417,299.313129951618,300.879464233092,309.301471343651,315.510976487555,321.438347309736,321.936506109771,328.485756564348,331.404491929297,351.897714157129,357.186720862121,365.169138198014,369.330095698548,366.397320029053,379.256126388591,387.628961166836,392.048753785553,397.808647177277,406.648401656698,405.818739233806,403.310659296251,414.408453279402,413.631257102837,408.787594836765,403.372269354769,411.86837326697,430.785166329998,436.080018871356,443.589791537515,455.174173842725,435.711253170879,431.1652712153,426.725184044873,420.42500796273,417.25830701417,420.484475826764,419.513896755912,"","","","","","","","","","
Panama,PAN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1064.17467985278,1165.56991429141,1237.81552482524,1185.42045089654,976.176828645298,942.718782622887,907.842417115599,868.190778492974,907.302024742199,721.526675909588,752.409427574488,804.835228875719,839.186599819333,751.084954216652,708.72159988005,704.128457686029,736.03000907918,670.70928508769,618.21891822183,607.138101216697,644.343400717229,719.292197509425,714.665104456849,737.226479708535,732.921719017073,767.733713829842,782.141188954047,889.105204923159,859.179516922091,853.382758060557,948.82615847276,845.645285401669,830.560908543997,803.796189354245,879.661976694418,922.623661342853,886.671379407649,872.882392059984,946.128374043067,994.537189251309,1060.18077679602,1075.46386838247,1038.31539718544,1082.42540468503,"","","","","","","","","","
Peru,PER,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",659.637867051807,642.522206139036,652.214684533569,672.741284221123,675.302728447719,669.134046230377,676.467239891033,640.448002759012,622.500293654945,648.452685391795,636.421771012155,632.005047761755,566.862149848842,566.561194439594,538.475883088347,535.650477240233,537.541491921222,516.821040734749,466.412004613101,442.16971414329,424.697943294665,404.707983931206,423.416497880757,430.028558097268,450.582179849545,455.4288066452,432.770807260083,447.01008369112,468.068780773485,459.490033416006,437.427648196982,435.10790756318,421.95961710615,462.252878498962,485.556941025252,467.74305670665,502.445418529704,523.52395750262,545.453406606009,641.775864892339,648.375144681189,691.932072854868,683.146097485877,789.548956751178,"","","","","","","","","","
Philippines,PHL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",397.899989197443,391.20769700796,426.109311703715,418.163511105132,433.463508051813,442.928331542654,449.369953030522,444.761470587532,458.672031037682,466.548295365848,456.951142676467,456.192908010929,481.927869194181,421.043699346507,430.383630987235,419.458269956981,427.065051081291,439.741377215025,450.873480337797,456.753154968638,445.273727545616,454.627448526665,443.493818900318,464.999372421835,476.592489414674,481.657687198223,495.118213917935,496.708581216689,497.002704336874,502.227285598337,470.398858065101,467.257808154868,459.257751233642,448.979705931294,441.438224580219,430.899507676246,424.339806988477,432.636985290957,404.586633892837,419.330927718675,413.916475198317,431.789367844708,438.83582380935,459.424559588378,"","","","","","","","","","
Palau,PLW,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4814.38338030015,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Papua New Guinea,PNG,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Poland,POL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1827.93681642651,1894.05743558937,1976.85979180758,1984.0167361292,2031.2613742375,2088.01079346604,2140.86869101354,2199.05462051877,2290.23626355507,2438.36688859326,2549.98037612929,2627.02148946879,2693.7452750135,2784.33270778123,2882.11695993981,3029.42781548919,3157.94611177572,3251.8025717049,3488.40640515249,3565.32514325883,3559.32650534166,3245.29781631795,3412.49866376325,3350.91951155382,3211.6968521738,3351.95415501123,3464.2428917956,3535.48197152255,3496.98511443129,3259.22330473043,2705.60874347842,2641.02944834274,2569.17533456851,2624.64884280888,2496.17270757601,2577.52968402797,2680.10207027325,2643.12353588621,2459.83453998878,2396.69212354978,2320.37671815161,2336.44583847825,2314.20257991789,2375.00613146542,2383.05567968255,2414.16178954549,2536.97804532817,2527.40841162879,2564.77564158133,2466.52404094266,2640.23891094855,2653.40365662369,2566.57431316009,2565.67045553603,2473.40688342692,2490.20641907427,"","","","","","","","","
Pre-demographic dividend,PRE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",515.441033430282,516.619447558047,518.281050949994,516.098443095839,515.986520423298,523.917002380738,525.666768862452,529.951974914599,534.721507123991,531.093070129854,527.761223906546,528.017880006009,533.227366039783,526.800773405218,533.022682968454,532.048576172863,529.180144710954,539.722321983763,543.48539018221,537.709486138134,527.240124857282,550.304974552724,563.279063324361,558.988110556336,549.760576197917,552.473966707166,567.953247352216,528.431480691338,516.422141748855,511.355145578526,522.087060541483,520.606395724682,518.933211083059,522.215700663308,523.628080651814,518.117543052468,519.256029687139,524.825957674892,527.011442284592,546.141869180235,559.81286249539,568.201130923873,568.638139837685,564.813323953937,"","","","","","","","","","
Puerto Rico,PRI,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
"Korea, Dem. People's Rep.",PRK,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1246.65696620642,1261.53802528177,1259.30628957748,1290.39026346657,1311.59247318449,1370.64079404064,1423.8898774227,1508.30404496618,1591.51142688258,1664.91924618735,1685.15960639512,1734.86315795977,1772.83886446303,1789.85187671938,1834.78216638733,1778.49434391441,1688.04423037054,1694.0689779493,1663.20782554932,1573.59911031271,1479.50448367274,1274.10677189567,1154.73372598779,1040.84424493642,969.811821306909,844.295573509594,796.808249638806,737.165983372029,783.428340912618,833.134918538945,855.307318915802,817.138743014787,831.404859533141,845.078918552808,874.548053807702,878.698642137842,742.745821973147,814.503660020114,800.64085486117,756.617512813931,557.750150470912,565.416539477183,428.283581827336,467.998836364185,"","","","","","","","","","
Portugal,PRT,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,336.913601655325,365.840115861058,363.164047972061,394.938958656664,410.251827125966,440.882937836407,451.750813739574,486.585415323871,497.129002506606,579.972492793489,663.861506415983,726.050457694549,745.283954565416,798.835180873614,824.361218660634,845.362441400258,872.349374345995,845.368945104395,916.769387701724,998.160696347735,1022.46364850928,1006.49412741101,1119.20463053475,1117.91312696045,1115.89426896054,1093.85857175452,1208.4742802909,1241.19566529755,1299.58511359225,1575.75452273863,1680.96239108472,1703.31643781497,1813.88584610048,1786.45194148329,1827.69667293031,2014.02049993936,1986.83697098901,2083.48767634945,2240.06731759899,2390.49473136561,2390.09793877451,2391.22819274704,2477.48974987694,2400.7659180705,2462.98505865349,2519.0049251047,2390.32461381023,2402.42639546147,2337.27138690704,2304.02667537956,2222.62969233243,2163.98211329133,2039.01189594444,2057.86133029622,2034.51262957571,2131.68188764014,"","","","","","","","","
